year,month,loc,meteo,codMeteo,lago,prof,secchi,Tsup,Tfondo,Tmedia,pHsup,pHfondo,pHmedia,DOsup,DOfondo,Domedia,%O2sup,%O2fondo,%O2media,conduSup,conduFondo,condMediau,conduSup25,conduFondo25,Condmedia25,AlcalTsupCaCO3,AlcalTfondoCaCO3,AlcalTCaCO3
18,07,Monte del Lago (pontile),Sereno,1,leggermente mosso,,,28.18,27.40,27.79,8.52,8.36,8.44,12.43,6.95,9.69,90.9,72.4,81.6,1666.3,1646.7,1656.46,1571,1574,1573,187.5,,
18,08,Monte del Lago (pontile),Poco Nuvoloso,3,leggermente mosso,2,0.6,25.73,25.77,25.75,8.74,8.72,8.73,9.12,8.88,9.00,111.9,109.1,110.5,1604.7,1610.0,1607.33,1583,1587,1585,190.0,187.5,
18,09,Monte del Lago (pontile),Sereno,1,leggermente mosso,1.9,0.5,19.40,18.10,18.75,8.69,8.59,8.64,9.39,8.50,8.94,102.2,90.2,96.2,1439.8,1396.0,1417.88,1612,1608,1610,180.0,175.0,
18,10,Monte del Lago (pontile),Nuvoloso,4,mosso,2,0.25,16.43,16.47,16.45,8.35,8.37,8.36,8.82,8.62,8.72,90.4,88.7,89.5,1358.0,1358.0,1358.00,1624,1622,1623,,,
18,11,Monte del Lago (pontile),Sereno,1,leggermente mosso,2,0.6,9.25,9.00,9.13,8.39,8.39,8.39,11.31,10.92,11.12,98.5,94.9,96.7,1092.0,1087.7,1089.83,1562,1566,1564,,,
18,12,Monte del Lago (pontile),Poco Nuvoloso,3,calmo,2,0.7,6.10,6.10,6.10,8.33,8.27,8.30,12.18,11.73,11.96,98.4,94.9,96.7,984.5,985.3,984.92,1541,1542,1541,,,
19,01,Monte del Lago (pontile),Nuvoloso,4,leggermente mosso,2,0.7,5.10,5.00,5.05,8.48,8.46,8.47,12.56,12.23,12.40,98.7,95.9,97.3,951.5,952.0,951.75,1535,1540,1538,,,
19,02,Monte del Lago (pontile),Sereno,1,calmo,2,0.4,8.93,7.53,8.23,8.38,8.28,8.33,11.64,11.18,11.41,100.6,93.8,97.2,1052.5,1016.3,1034.42,1519,1525,1522,,,
19,03,Monte del Lago (pontile),Sereno,1,leggermente mosso,2.2,0.4,12.38,10.87,11.62,8.58,8.52,8.55,10.35,10.19,10.27,96.9,92.3,94.6,1167.3,1128.0,1147.63,1538,1545,1542,,,
19,04,Monte del Lago (pontile),Nuvoloso,4,leggermente mosso,2,0.7,17.75,17.63,17.69,8.77,8.76,8.76,9.07,9.09,9.08,95.5,95.5,95.5,1323.5,1323.3,1323.42,1536,1540,1538,,,
19,05,Monte del Lago (pontile),Sereno,1,leggermente mosso,2.3,1,19.20,18.80,19.00,8.41,8.38,8.39,8.60,8.18,8.39,93.3,88.1,90.7,1346.3,1333.0,1339.67,1514,1512,1513,,,
19,06,Monte del Lago (pontile),Sereno,1,leggermente mosso,2.2,0.8,27.30,27.07,27.18,8.61,8.58,8.60,7.39,7.13,7.26,93.4,90.1,91.8,1625.7,1618.7,1622.17,1557,1557,1557,,,
19,07,Monte del Lago (pontile),Sereno,1,leggermente mosso,2,0.7,29.03,26.87,27.95,8.63,8.49,8.56,10.23,9.29,9.76,134.1,116.8,125.5,1646.3,1626.3,1636.29,1529,1570,1550,,,
